"coefficient_name","coef","variable","sd_x","sd_y","std_coef","importance_pct"
"b_expected_los",0.0970036489624942,"expected_los",0.500188643658853,0.897493117339334,0.0540618336420784,0.878826479630484
"b_clinical_situation",0.801970430860821,"clinical_situation",0.500188643658853,0.897493117339334,0.446952176364283,7.26563235568243
"b_age",-1.24461035966547,"age",1.10111435836096,0.897493117339334,-1.5269847880898,24.8225887906577
"b_frailty",-0.489497758701196,"frailty",0.824621125123532,0.897493117339334,-0.449752967156194,7.31116187153519
"b_life_expectancy",0.386238824479921,"life_expectancy",0.766146938958495,0.897493117339334,0.329713607118767,5.35980800334753
"b_suffering",-0.36658335923799,"suffering",0.500188643658853,0.897493117339334,-0.204303330802958,3.32114478719045
"b_disability_cardiovascular",-0.38593327745154,"disability_cardiovascular",1.10111435836096,0.897493117339334,-0.4734929605154,7.69707802318572
"b_disability_pulmonary",-0.457377228560102,"disability_pulmonary",0.81680463473266,0.897493117339334,-0.416257052997344,6.76665395644822
"b_disability_renal",-0.33988378264155,"disability_renal",0.73407623890731,0.897493117339334,-0.27799723920642,4.51910929799863
"b_disability_neurological",-0.421903429935535,"disability_neurological",0.800942840633627,0.897493117339334,-0.376516014571144,6.12062561179042
"b_disability_gastrointestinal",-0.37901225230788,"disability_gastrointestinal",0.500188643658853,0.897493117339334,-0.21123017073822,3.43374715276268
"b_family_values",-2.53311008181364,"family_values",0.490475318171923,0.897493117339334,-1.38433147768898,22.5036236697706
