"coefficient_name","coef","variable","sd_x","sd_y","std_coef","importance_pct"
"b_expected_los",-0.257171473744033,"expected_los",0.500126566259463,0.49931776684751,-0.257588042411413,2.177234261674
"b_clinical_situation",0.425167374146263,"clinical_situation",0.500126566259463,0.49931776684751,0.425856064084861,3.59950098842831
"b_age",-1.15764915641161,"age",1.10097770128835,0.49931776684751,-2.55257471644043,21.5753537163053
"b_frailty",-0.519044353240303,"frailty",0.824518783066033,0.49931776684751,-0.857093111653062,7.24448414090335
"b_life_expectancy",0.360224306071461,"life_expectancy",0.766051854013796,0.49931776684751,0.552655074280884,4.67125551072945
"b_suffering",-0.831421150128516,"suffering",0.500126566259463,0.49931776684751,-0.832767893589207,7.03887794235657
"b_disability_cardiovascular",-0.383241214751431,"disability_cardiovascular",1.10097770128835,0.49931776684751,-0.845033082479607,7.14254808646765
"b_disability_pulmonary",-0.755171788424199,"disability_pulmonary",0.816703262763951,0.49931776684751,-1.23518789937568,10.4402882562017
"b_disability_renal",-0.357603600573601,"disability_renal",0.733985134192233,0.49931776684751,-0.525668710752684,4.44315627630248
"b_disability_neurological",-0.496960518066846,"disability_neurological",0.800843437240054,0.49931776684751,-0.797062704125236,6.73708380202005
"b_disability_gastrointestinal",-0.617359148542722,"disability_gastrointestinal",0.500126566259463,0.49931776684751,-0.618359152446964,5.22661191926341
"b_family_values",-2.37344951368222,"family_values",0.490414446273684,0.49931776684751,-2.33112860445537,19.7036050993477
